x,y,z,
0.0160522,0.883179,0.344055,
0.043396,0.774658,0.313171,
0.0829468,0.717773,0.29834,
0.09729,0.696228,0.287598,
0.116638,0.72229,0.282715,
0.161438,0.76416,0.272827,
0.157166,0.792236,0.269409,
0.152466,0.792542,0.276611,
0.154541,0.825806,0.288879,
0.174255,0.846497,0.301514,
0.200806,0.873901,0.297302,
0.210815,0.880859,0.308594,
0.197754,0.867981,0.31189,
0.174377,0.853638,0.311829,
0.1745,0.888184,0.318909,
0.229492,0.98584,0.318359,
0.263672,1.07794,0.303345,
0.233093,1.09174,0.286438,
0.175659,1.0423,0.292664,
0.173523,1.02374,0.292847,
0.211365,1.13562,0.294067,
0.242188,1.24188,0.33905,
0.152832,1.28156,0.376892,
0.0349731,1.19092,0.381714,
0.0283203,1.03418,0.342285,
0.0664062,0.89624,0.269226,
0.0874023,0.803162,0.212219,
0.0584106,0.778259,0.171265,
0.0477905,0.77887,0.148865,
0.0898438,0.794128,0.12616,
0.161499,0.835205,0.134827,
0.187378,0.843262,0.157349,
0.167542,0.809692,0.177307,
0.155457,0.769043,0.198242,
0.125671,0.766846,0.230408,
0.107849,0.781372,0.269104,
0.113098,0.796936,0.268188,
0.148315,0.80658,0.245972,
0.207275,0.83374,0.223999,
0.222107,0.859558,0.225647,
0.230164,0.902649,0.249634,
0.237976,0.959717,0.260559,
0.257812,0.97052,0.271545,
0.242615,0.942383,0.267395,
0.21991,0.919739,0.2677,
0.214539,0.941833,0.266357,
0.221313,0.978455,0.267395,
0.236023,0.997986,0.262512,
0.246521,0.962036,0.252747,
0.230957,0.907654,0.210571,
0.230469,0.962036,0.228943,
0.181396,1.05463,0.272888,
0.112976,1.1629,0.306824,
0.121155,1.16541,0.306885,
0.114075,0.981018,0.248352,
0.103638,0.780029,0.19873,
0.115662,0.656006,0.191101,
0.156006,0.684143,0.19397,
0.185852,0.815491,0.21991,
0.185974,0.927795,0.239197,
0.131042,0.94458,0.249939,
0.0953369,0.873291,0.246338,
0.116699,0.831177,0.234314,
0.153748,0.823364,0.222473,
0.162781,0.796692,0.225952,
0.172363,0.802979,0.223206,
